标题	内容摘要	【打标5】
AI大战--中美风格不同	高盛：  表面上看，中国的AI资本支出似乎远低于美国。例如，预计到2026年，美国超大规模数据中心巨头亚马逊、Meta、谷歌、微软和甲骨文的资本支出将超过7500亿美元，而中国超大规模数据中心巨头阿里巴巴、腾讯、字节跳动和百度今年的总资本支出预计仅为1000亿美元。然而，这并不意味着中国的计算能力仅为美国的几分之一。截至2025年中期，中国的数据中心装机容量已达到美国的60%。  中国超大规...	
率先量产之后仅4个月，三星的HBM4收入已突破10亿美元	三星电子第六代高带宽内存HBM4的商业化进程正以惊人速度推进。 据韩联社周二报道，三星HBM4自今年2月全球首发量产出货以来，仅约4个月便实现销售额突破10亿美元，成为AI存储芯片市场迄今最快的商业化里程碑之一。 据业界消息，近期HBM4需求急剧攀升是推动这一成绩的核心驱动力。若以6月底为统计节点，三星HBM4的累计销售额预计将进一步突破12亿美元（约合1.85万亿韩元）。与此同时，三星在H...。【产业链影响】HBM是AI GPU内存瓶颈，HBM4带宽是前代2倍+，CoWoS产能决定GPU出货量	
英伟达发文详解核心液冷技术	“最新AI服务器可在高于热水浴缸温度的冷却液中运行，这一反直觉设计是数据中心发展史上能效提升最重大的突破之一。”当地时间6月21日，英伟达在其官方社交账号上介绍了Rubin100%液冷的技术方案。  Rubin液冷方案将冷却液温度最高提升至45摄氏度，实现了高效散热与能耗降低的完美结合。此外，该技术采用了大冷板、微通道等技术，优化了整机内部换热效果。 在单机柜功耗突破200kW之际，英伟达R...。【产业链影响】AI服务器单机柜功率从10kW向100kW+跃升，液冷成为唯一可行散热方案	
算力不再稀缺？AI服务器租赁成本走低，日本推出前沿级"编排"新模型	人工智能基础设施市场正在同步出现两个新信号：服务器租赁成本持续下行，算力Token支出增速趋于稳定。这两个信号共同指向AI领域一个核心命题——AI成本下降，究竟是催生更多需求，还是侵蚀现有定价能力？ 日本AI实验室Sakana推出颠覆性"编排"框架模型Fugu，以协调多个前沿模型取代暴力扩参路线，在主流基准测试中超越Claude和GPT-5.5。 Sakana Fugu在SWE-Bench ...	
宁德时代换电业务杀入欧洲：与章鱼能源合资建设欧洲重卡换电网络	宁德时代旗下面向重卡的骐骥换电技术将首次走出国门。 6月22日，宁德时代宣布与英国最大能源公司章鱼能源（Octopus Energy）将成立合资公司，双方将共同建设欧洲重卡换电网络。宁德时代称，公司将把骐骥换电技术引入欧洲，通过提升重型卡车的补能效率，推动公路货运的电动化转型。 根据规划，2027年双方将在英国建成首批示范换电站，优先覆盖高速公路主干线及核心物流港口。预计到2035年，换电站...	
微软与雪佛龙达成20年协议，267万千瓦AI电力项目落地得州	随着AI算力需求持续爆发，科技巨头与能源巨头之间的合作正不断深化。 据彭博，当地时间6月22日，雪佛龙宣布与微软签署一项为期20年的长期电力供应协议，将为微软计划在美国得州西部建设的大型数据中心园区提供天然气发电支持。该项目总装机容量预计达267万千瓦，足以满足超过53万户家庭的用电需求，有望成为美国规模最大的AI数据中心配套电力项目之一。 在电网资源日趋紧张的背景下，科技公司正越来越多地采...	
SpaceX与Reflection AI签署数十亿美元算力供应协议	SpaceX正加速将自身打造成AI算力基础设施提供商。继与谷歌、Anthropic签署大规模算力租赁协议后，SpaceX又将一家新兴AI初创企业纳入客户名单。 据Reflection AI周一宣布，该公司将向SpaceX旗下AI部门SpaceXAI支付算力费用，自今年7月起至2029年，每月付款金额为1.5亿美元。Reflection AI将使用SpaceX位于田纳西州孟菲斯市Colossu...	
2026“端侧AI战事”升级，苹果谷歌们在拼什么？	2026上半年，端侧大模型走到了一个新阶段：模型将继续变小、变轻，但光靠压缩已经不够了。接下来的关键，是让模型和底层框架、芯片、具体设备场景配合起来，从“能跑起来”走向“更好用”。 这样的转变，正在头部厂商身上集中发生。在6月9日的苹果全球开发者大会（WWDC2026）上，苹果发力端侧大模型，发布了AFM3系列。 苹果的思路是，从根本上为端侧设计出省算力的结构，推出约200亿参数的端侧主力A...	
苹果收尾旧网络产品支持，iOS / iPadOS 27 预告 AirPort Utility 应用退场	IT之家 6 月 23 日消息，科技媒体 AppleInsider 今天（6 月 23 日）发布博文，报道称在 iOS 27 Beta 2 更新中，苹果公司确认 App Store 即将下架 AirPort Utility 应用程序。苹果公司在 iOS 27/iPadOS 27 Beta 2 官方更新日志中，更新弃用条目，明确 AirPort Utility 应用程序将退出应用分发渠道。IT...	
三星推出行业最快 UFS 5.0 解决方案：带宽达 10.8GB/s，赋能端侧 AI	IT之家 6 月 23 日消息，三星电子今日宣布，其率先研发出了行业最快的通用闪存存储（UFS）5.0 解决方案，该产品将为新一代移动终端流畅、高效地运行各类人工智能服务提供支撑。三星电子称，这一突破性成果为下一代移动存储市场树立了全新标杆。得益于性能大幅提升，用户在终端侧人工智能环境中运行大语言模型（LLM）时，延迟将显著降低，设备响应速度大幅加快。IT之家注意到，生成式人工智能正快速从云...	
Counterpoint 报告：2026Q1 全球智能手表出货量同比增长 4%，苹果华为小米前三	IT之家 6 月 23 日消息，根据 Counterpoint Research 昨日最新发布的全球智能手表出货量季度追踪报告，2026 年第一季度全球智能手表出货量同比增长 4%。报告称，市场增长主要来自苹果最新产品组合在全球范围内的持续普及，以及对具备先进健康监测功能的高端设备需求增加。此外，在华为生态策略推动及政府补贴政策支持下，中国市场延续增长态势，进一步带动消费者换机升级并提振整体...	
Model 3 撞穿民宅致一死，特斯拉高管称驾驶员全程深踩油门	IT之家 6 月 23 日消息，美国得克萨斯州凯蒂市当地时间上周末发生了一起致命车祸：一辆特斯拉径直撞穿一栋砖房，造成一名 76 岁女性身亡。这起事故引发外界对该公司自动驾驶技术的担忧，但特斯拉方面反驳了外界对此事的定性。据IT之家了解，事故发生在当地时间周五晚间，迈克尔 · 巴特勒驾驶一辆特斯拉 Model 3 驶离道路，猛撞进玛莎 · 阿维拉的住宅。阿维拉被直升机送往医院，后经抢救无效死...	
苹果 iOS 27 Beta 2 更新汇总：洞察支出、升级 AI 写作、增强 RCS 聊天	IT之家 6 月 23 日消息，苹果公司今天（6 月 23 日）面向 iPhone 17 等用户，推送 iOS 27 Beta 2 更新，主要升级钱包（Apple Wallet）应用，扩展 Siri AI 写作能力、提升系统稳定性等。IT之家查询 MacRumors、9to5Mac 等多家媒体报道，简要梳理下苹果 iOS 27 Beta 2 更新内容如下：一、钱包应用新增洞察（Insight...	
岚图追光 S 车型 6 月 26 日首发亮相，配华为 896 线四激光雷达	IT之家 6 月 23 日消息，岚图汽车今日宣布，岚图追光 S 即将首发亮相第 31 届上海电视节，6 月 26 日，一同见证。IT之家注意到，岚图全新纯电轿跑 SUV —— 追光 S 新车定位中大型 SUV，内部代号为“FE”，此前已通过工信部第 407 批新车公告申报，计划于 2026 年年中正式上市。外观方面，追光 S 整体设计语言偏向性能运动风，其长宽高分别为 5050 毫米、199...	
IT早报 0623：亿咖通拟 18 亿收购 Flyme；48 位中国开发者联名举报苹果；小米 YU7 GT 创首个纽北自动驾驶纪录；博主称导航 APP 开屏摇一摇广告影响行车安全...	“IT早报”时间，大家好，现在是 2026 年 6 月 23 日星期二，今天的重要科技资讯有：1、亿咖通科技拟 18 亿元收购 Flyme 软件业务，年内魅族现有手机将迎大规模系统升级公司将通过收购由星纪魅族集团专项拆分设立的湖北骐光科技有限公司，获得相关软件业务及核心资产。本次交易总金额为 18 亿元人民币（约合 2.66 亿美元）。&gt;&gt; 查看详情2、48 位中国 iOS 应用...	
Anthropic 更新隐私政策，部分 Claude 用户需上传证件完成身份核验	IT之家 6 月 23 日消息，根据 Anthropic 公司新版隐私政策，该公司可能会要求 Claude 用户上传政府签发的证件来验证其年龄和身份。这家人工智能企业表示，推出该项举措，是为了给账号被标记为存在潜在欺诈行为的用户提供申诉渠道，而非直接封禁账号。与此同时，Anthropic 正试图缓和与特朗普政府之间的矛盾，双方围绕谁有权使用该公司 AI 工具的对峙仍在持续。今年 6 月初发布...	
长川科技 2026 年半年度归母净利润 9 亿元 ~10 亿元，同比预增 110.76%~134.18%	IT之家 6 月 22 日消息，长川科技今日发布 2026 年半年度（2026 年 1 月～2026 年 6 月）业绩预告报告：归母净利润：9 亿元 ~10 亿元，同比预增 110.76%~134.18%扣非净利润：8.55 亿元 ~9.55 亿元，同比预增 139.38%~167.38%AI 解读本次业绩预告归母净利润预计 9 亿元 ~10 亿元，同比预增 110.76%~134.18%，...	
苹果 iOS 27 引入全新设备恢复模式，无需电脑即可修复故障	IT之家 6 月 23 日消息，iOS 27 为 iPhone 和 iPad 推出了全新恢复模式。该模式可让设备启动至一套轻量化备用界面，无需加载完整操作系统，原理与苹果自研芯片 Mac 的恢复模式相近。使用该功能时，用户需先关闭设备，再长按侧边键开机。开机初期会和正常启动一样显示苹果 Logo，持续长按按键一段时间后，屏幕会出现进度条，设备随后会进入这个全新恢复环境，而非载入 iOS / ...	
苹果 visionOS 27.0 开发者预览版 Beta 2 发布	IT之家 6 月 23 日消息，苹果今日向 Vision Pro 用户推送了 visionOS 27.0 开发者预览版 Beta 2 更新（内部版本号：24M5306i），本次更新距离上次发布 Beta / RC 间隔 14 天。 需要注意的是，因苹果各区域节点服务器配置缓存问题，可能有些地方探测到升级更新的时间略有延迟，一般半小时内，不会太久。IT之家查询公开资料，暂未发现 visionO...	
苹果 macOS 27.0 开发者预览版 Beta 2 发布	IT之家 6 月 23 日消息，苹果今日向 Mac 电脑用户推送了 macOS 27.0 开发者预览版 Beta 2 更新（内部版本号：26A5368g），本次更新距离上次发布 Beta / RC 间隔 14 天。 IT之家查询公开资料，暂未发现 macOS 27 Beta 2 更新带来的改变，在官方更新日志中沿用此前 Beta 1 内容，主要改进液态玻璃方案，统一系统窗口圆角样式，以及搭载...	
苹果 iOS / iPadOS 27.0 开发者预览版 Beta 2 发布：升级 Siri AI 性能，提升系统稳定性	【点此直达升级教程】IT之家 6 月 23 日消息，苹果今日向 iPhone 和 iPad 用户推送了 iOS / iPadOS 27.0 开发者预览版 Beta 2 更新（内部版本号：24A5370h），本次更新距离上次发布 Beta / RC 间隔 14 天。IT之家查询公开资料，苹果 iOS 27 Beta 2 主要带来以下相关改进：苹果在更多地区推广 Apple Wallet 的 I...	
V 社公布 Steam Machine 主机售价：起步 1049 美元，现开放预约登记	IT之家 6 月 23 日消息，V 社正式公布了全新 Steam Machine 游戏主机的售价、配置选项与预约购买规则，即日起开放用户预约登记。IT之家附 Steam 官方预约页面链接（页面锁国区）（https://store.steampowered.com/hardware/steammachine）。Steam Machine 512GB： 1049 美元（约合人民币 7550 元）...	
谷歌 DeepMind 杰出工程师费恩伯格：想进入顶尖 AI 实验室，得“像条狗一样拼命干”	IT之家 6 月 22 日消息，据《商业内幕》22 日（今天）报道，谷歌 DeepMind 杰出工程师、Gemini 预训练负责人弗拉基米尔 · 费恩伯格表示，要想进入顶尖 AI 实验室，求职者可能仍要采用一种出人意料的传统办法：“像狗一样拼命干（Work like a dog）。”费恩伯格近期发表了一篇题为《如何获得前沿实验室职位》的博客文章，介绍希望进入 OpenAI、Anthropic...	
合约最高价值 63 亿美元，SpaceX 与开源 AI 初创企业 Reflection 签署算力合作协议	IT之家 6 月 22 日消息，据 CNBC 报道，SpaceX 已与开源 AI 初创企业 Reflection AI 签署了一项算力合作协议，最高价值可达 63 亿美元（IT之家注：现汇率约合 427.71 亿元人民币）。根据该协议，Reflection 将立即获得英伟达 GB300 AI 芯片的使用权，这些芯片主要用于训练和运行高级模型。Reflection 同意从 2026 年 7 月...	
消息称三星显示已获苹果量产认证，将为折叠屏 iPhone 独供 OLED 面板	IT之家 6 月 22 日消息，据韩媒 The Elec 今天（22 日）援引业内人士消息称，苹果已经批准三星显示启动折叠 OLED 模组生产。三星显示已启用越南工厂的部分后段产线，首批约 300 万块面板计划在今年交付。模组量产认证是面板供应商正式供货前必须通过的审核，主要检验最终组装质量、产品性能和量产稳定性。消息称苹果要求良率至少达到 70%，三星显示最终良率超过 80%，顺利通过认证...	
开辟新赛道：小米 YU7 GT 创全球首个纽北自动驾驶圈速纪录，官方圈速榜新增“自动驾驶”分类	IT之家 6 月 22 日消息，小米汽车今日官宣，小米 YU7 GT 达成全球首个纽北自动驾驶圈速纪录，时间为 10 分 29 秒 483。小米创办人、董事长兼 CEO 雷军今日分享了小米 YU7 GT 使用自动驾驶功能征战纽北赛道后发生的一处细微变化 —— 纽北官方圈速榜新增“自动驾驶”分类。据IT之家今日早些时候报道，央视新闻今日发文谈及了小米此次取得的成绩，称从追赶到领跑，从跟跑到开创...	
华为和 Google 都在抢！手机小组件，为什么是 AI 必争之地？｜AI 器物志	手机操作系统第一次真正「千人千面」#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
微信终于要给 AI 手机开门了｜AI 器物志	有限 A2A 怡情，过度 A2A 伤身，强行 A2A 灰飞烟灭#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
摩托罗拉 Razr Fold 体验：去，把三星的桌子掀了	┬─┬﻿ ノ( ゜-゜ノ)#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
