标题	内容摘要	【打标5】误判原因/补充说明
MONTECH 推出 TG3 机箱：ARGB 灯带装饰电源舱，配备连体反叶风扇	IT之家 6 月 22 日消息，MONTECH（君主科技 / 蒙泰克）今日宣布推出 TG3 机箱。这一型号属于中塔 ATX 类型，采用直角无柱“全视海景房”设计，定价 1750 新台币（IT之家注：现汇率约合 374.3 元人民币）。MONTECH TG3 整体造型干练，底部呈阶梯式结构。其电源舱采用 MESH 散热设计，集成由 28 颗 LED 灯珠组成的 ARGB 灯带；底部前方则可用于放置手	
上海超硅 12 英寸方形硅片顺利量产并交付客户，应用于 AI 芯片下一代 CoPoS 封装工艺	IT之家 6 月 22 日消息，超硅股份今日宣布，5 月，上海超硅正式向大客户量产交付方形硅片产品，应用于人工智能 HPC 芯片的下一代 CoPoS 先进封装工艺平台。据官方介绍，随着人工智能 HPC 芯片的性能快速提升，单个芯片的尺寸进一步扩张，传统 300mm 圆形晶圆在此场景下将面临利用率不足并产生大量边缘废料等挑战。	
PINE64 推出 PineVoice 智能音箱：基于 RISC-V 处理器，支持本地唤醒词检测	IT之家 6 月 22 日消息，开源硬件制造商 PINE64 本月 19 日宣布推出 PineVoice 智能音箱。这一产品集成双麦克风阵列，提供音量控制和硬件麦克风静音按钮，目前售价为 49.99 美元（IT之家注：现汇率约合 339.4 元人民币），可选配 14.99 美元的 Zigbee 加密狗配件。	
华为笔记 App 完成鸿蒙 PC 版适配，正式上线电脑端 App Gallery	IT之家 6 月 22 日消息，据博主 @Adak封狼居胥 今日分享，华为笔记 App 已完成鸿蒙 PC 版本的适配，正式上线鸿蒙电脑的华为应用市场 App Gallery。据介绍，华为笔记 App 是华为自研笔记软件，搭载专业笔刷引擎。该应用还内置多款笔刷和编排工具，并支持实时 AI 字迹调整、无界笔记、自由作图、多人语音转写、手写公式 AI 识别、圈选小艺解题、智能摘要等功能。据IT之家本月早	
郭明錤：谷歌开发 TPU v9 芯片推理优化升级款，联发科接单	IT之家 6 月 22 日消息，证券分析师 郭明錤 今日下午表示，谷歌将在代号 "Humufish" 的 TPU v9 自有 AI 芯片基础上推出一个旨在提高推理能力的升级改款，并由联发科独家获得订单。这款代号可能是 "Triggerfish" 的 TPU v9 升级版芯片旨在缓解既有 AI ASIC 面临的“CPU 墙”与“内存墙”问题，预计 2027 年底投产、2028 年底放量，生命周期出货	
Omdia 报告：2026 年第一季度中国大陆 PC 出货量下滑 2%，联想华为苹果前三	IT之家 6 月 22 日消息，Omdia 今日最新报告显示，2026 年第一季度，中国大陆 PC 和平板电脑市场分别同比下降 2% 和 5%。其中，PC 总出货量降至 890 万台，平板电脑出货量降至 830 万台。从产品类别来看，笔记本电脑（包括移动工作站）出货量同比下降 19%，而台式电脑（包括台式工作站）出货量则同比增长 41%，分别达到 530 万台和 360 万台。	
HD 现代基于英伟达平台研发造船 AI 机器人，将率先应用于焊接工序	IT之家 6 月 22 日消息，据 Herald Economy 报道，HD 现代（韩国现代集团旗下的综合型重工业企业）正基于英伟达机器人仿真平台 Isaac Sim 研发实体人工智能机器人。HD 现代计划将这类机器人投用于焊接等船舶制造核心工序。HD 现代目前正推动基于英伟达 Isaac Sim 平台训练的实体人工智能机器人在其造船流程中的应用。HD 现代一名负责人表示：“我们研发这款机器人的目	
高通被曝规划骁龙 X2 系列 Refresh 变体，X2 标准版代号 "Calypso"	IT之家 6 月 22 日消息，高通在 2025 年 9 月宣布推出了高通骁龙 X2 Elite Extreme 和骁龙 X2 Elite 处理器，后续又在今年 1 月以骁龙 X2 Plus 丰富了产品阵容。而根据 X 平台用户 @Reptalicant 的说法，高通还规划了 X2 系列的 Refresh 变体。	
微信终于要给 AI 手机开门了｜AI 器物志	有限 A2A 怡情，过度 A2A 伤身，强行 A2A 灰飞烟灭#欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。	
OpenAI 史上最大规模企业部署之一：三星向员工开放 ChatGPT 和 Codex	IT之家 6 月 22 日消息，OpenAI 于当地时间 6 月 21 日宣布，三星电子正在全球向员工部署 ChatGPT Enterprise 和 Codex，加速公司 AI 的采用。根据协议，ChatGPT 和 Codex 将向韩国三星电子的所有员工以及全球其设备体验（DX）部门的所有员工开放。这是 OpenAI 迄今为止最大规模的企业部署之一。三星电子计划在工作中使用 ChatGPT 和 C	
